student_id,class,gender,state,socioeconomic_score,family_income_category,distance_from_school_km,num_siblings,parents_education,is_first_gen_learner,has_elder_sibling_dropped,child_labour_involved,seasonal_migration,health_issues,prev_year_attendance,current_attendance,midterm_score,final_score_prev_year,score_trend,failed_prev_year,repeated_class,teacher_student_ratio,school_has_midday_meal,school_has_toilet,dropout_risk_score,dropout_risk_label,dropout
STU0020,7,Female,UP,4.94,Low Income,0.9,2,Primary,1,0,0,0,1,50.8,49.7,77.8,69.7,8.2,0,0,31,1,1,35.05,Low,0
STU0021,8,Female,Bihar,5.94,Low Income,5.7,5,Primary,0,0,0,1,0,64.7,48.5,68.9,94.6,-25.7,0,0,46,0,1,44.67,Medium,0
STU0022,6,Female,UP,5.34,Low Income,4.1,1,Illiterate,1,0,0,1,0,32.3,44.8,64.6,57.0,7.6,0,0,49,0,1,44.2,Medium,0
STU0023,7,Female,MP,3.95,Low Income,10.3,0,Primary,0,1,0,0,0,69.2,63.5,59.0,58.4,0.6,0,0,35,1,1,42.37,Medium,0
STU0024,7,Male,Odisha,4.53,Low Income,6.1,3,Secondary,0,0,0,1,0,40.4,31.1,47.2,53.5,-6.3,0,0,40,0,1,50.81,Medium,0
STU0025,7,Male,MP,1.79,Below Poverty Line,0.8,1,Illiterate,1,1,0,0,0,76.2,82.6,39.6,50.5,-10.8,0,0,34,0,0,51.63,Medium,0
STU0026,9,Male,Odisha,2.77,Below Poverty Line,6.4,3,Illiterate,1,1,0,0,0,35.3,30.1,33.5,40.8,-7.4,0,0,39,1,1,61.02,Medium,0
STU0027,6,Female,Bihar,6.13,Middle Income,4.1,5,Illiterate,1,1,0,0,0,50.4,33.7,42.5,59.4,-16.9,0,0,52,1,1,55.96,Medium,0
STU0028,8,Female,UP,6.25,Middle Income,4.4,3,Primary,0,1,1,0,0,56.0,51.4,54.2,64.0,-9.8,0,0,62,1,1,53.29,Medium,0
STU0029,8,Male,MP,3.38,Low Income,7.1,5,Graduate,0,0,0,0,0,98.9,86.1,34.2,65.0,-30.8,0,0,63,1,1,26.68,Low,0
STU0030,6,Female,Bihar,3.21,Low Income,3.4,2,Illiterate,1,1,0,0,0,99.2,64.1,58.1,59.1,-1.0,0,0,46,0,1,43.73,Medium,0
STU0031,8,Male,MP,1.78,Below Poverty Line,2.5,4,Illiterate,1,0,0,0,0,32.3,18.4,51.5,73.7,-22.2,0,0,55,1,1,59.21,Medium,0
STU0032,6,Female,UP,4.44,Low Income,4.0,0,Graduate,0,1,0,0,0,61.5,51.2,47.8,58.5,-10.7,0,0,56,1,1,44.46,Medium,0
STU0033,6,Male,Telangana,0.48,Below Poverty Line,1.4,0,Secondary,0,0,0,0,0,58.3,41.7,75.9,51.0,24.9,0,0,32,1,1,39.99,Low,0
STU0034,10,Female,Assam,1.83,Below Poverty Line,0.8,1,Illiterate,1,0,1,0,0,23.2,23.9,10.7,42.2,-31.5,0,0,48,1,1,77.56,High,1
STU0035,10,Female,UP,3.82,Low Income,3.8,0,Secondary,0,0,0,0,0,81.6,68.8,48.1,31.7,16.4,1,0,37,0,1,37.11,Low,0
STU0036,9,Male,Assam,3.46,Low Income,1.1,2,Secondary,1,0,0,0,0,74.4,74.2,12.7,82.8,-70.2,0,0,46,1,1,32.29,Low,0
STU0037,7,Male,Assam,3.28,Low Income,0.5,0,Secondary,0,0,0,0,1,52.5,35.1,59.3,46.1,13.2,0,0,30,1,1,27.73,Low,0
STU0038,6,Male,Odisha,2.84,Below Poverty Line,0.5,1,Primary,1,0,0,1,0,50.3,54.4,68.7,42.3,26.5,0,0,36,1,0,34.87,Low,0
STU0039,9,Male,MP,0.75,Below Poverty Line,3.7,0,Graduate,0,1,0,0,0,81.5,63.7,30.7,50.9,-20.2,0,0,32,1,1,56.03,Medium,0
STU0040,7,Male,Rajasthan,6.11,Middle Income,1.8,4,Illiterate,1,0,0,0,1,63.9,35.5,33.0,53.3,-20.3,0,0,48,1,1,53.72,Medium,0
STU0041,6,Female,Jharkhand,2.11,Below Poverty Line,5.6,5,Illiterate,1,0,0,0,0,66.2,73.6,24.4,85.9,-61.4,0,0,56,1,1,52.92,Medium,0
STU0042,8,Female,UP,3.55,Low Income,1.9,3,Primary,0,0,0,0,0,72.7,59.2,56.1,52.4,3.7,0,0,32,1,0,33.43,Low,0
STU0043,6,Female,Bihar,6.47,Middle Income,2.7,3,Primary,0,0,0,1,0,85.7,98.2,48.9,100.0,-51.1,0,0,63,1,1,13.94,Low,0
STU0044,10,Male,Rajasthan,4.98,Low Income,2.1,5,Graduate,1,0,0,0,0,80.3,80.9,50.0,59.1,-9.1,0,0,34,1,1,23.33,Low,0
STU0045,7,Female,Bihar,6.72,Middle Income,4.2,3,Primary,0,1,0,0,0,24.8,27.7,48.4,93.0,-44.6,0,0,45,1,1,43.37,Medium,0
STU0046,8,Female,Bihar,2.13,Below Poverty Line,1.8,4,Illiterate,1,0,0,0,0,54.7,60.2,37.5,73.2,-35.7,0,0,43,1,1,51.78,Medium,0
STU0047,7,Male,UP,2.45,Below Poverty Line,13.3,2,Primary,0,0,0,0,0,50.4,46.5,75.4,64.1,11.2,0,0,59,0,1,35.96,Low,0
STU0048,8,Female,Rajasthan,5.59,Low Income,11.0,1,Primary,0,0,1,0,0,79.2,75.4,59.9,84.8,-24.9,0,0,61,1,1,46.49,Medium,0
STU0049,8,Female,Jharkhand,3.05,Low Income,7.5,4,Graduate,0,0,0,0,0,35.0,42.9,33.7,77.1,-43.4,0,0,41,1,1,48.78,Medium,0
STU0050,6,Male,UP,1.73,Below Poverty Line,10.1,1,Primary,0,0,0,0,0,55.2,51.3,42.4,68.8,-26.4,0,0,56,1,1,37.0,Low,0
STU0051,10,Male,Assam,7.0,Middle Income,2.4,2,Primary,1,1,0,0,0,86.9,74.6,39.3,97.4,-58.1,0,0,55,1,1,15.28,Low,0
STU0052,9,Male,MP,2.21,Below Poverty Line,3.1,4,Secondary,1,0,0,0,0,23.7,24.6,80.3,49.5,30.8,0,0,58,1,0,29.5,Low,0
STU0053,10,Male,Odisha,3.35,Low Income,5.4,0,Secondary,1,0,0,1,1,66.0,39.9,67.8,41.1,26.7,0,0,52,1,1,47.92,Medium,0
STU0054,10,Female,Rajasthan,3.13,Low Income,4.8,2,Primary,0,0,0,0,0,60.5,68.7,52.7,46.5,6.2,0,0,51,1,1,26.38,Low,0
STU0055,8,Female,Odisha,3.92,Low Income,8.9,3,Illiterate,1,0,0,1,1,75.3,83.7,85.7,87.8,-2.1,0,0,49,1,0,35.82,Low,0
STU0056,10,Female,Telangana,1.94,Below Poverty Line,5.0,4,Secondary,1,1,0,0,0,68.5,75.5,81.1,82.7,-1.5,0,0,45,0,1,38.56,Low,0
STU0057,6,Male,Odisha,0.46,Below Poverty Line,24.6,2,Secondary,0,0,0,0,0,31.4,38.0,50.8,49.1,1.8,0,0,60,1,1,65.31,High,1
STU0058,6,Male,Telangana,4.02,Low Income,1.7,2,Secondary,1,0,1,0,0,83.6,77.7,47.6,18.0,29.6,1,1,32,0,1,45.11,Medium,0
STU0059,6,Female,Jharkhand,3.93,Low Income,7.2,4,Graduate,0,1,0,1,0,76.0,69.9,48.5,54.5,-6.0,0,0,50,1,1,55.99,Medium,0
STU0060,7,Female,Assam,1.02,Below Poverty Line,4.8,3,Secondary,1,0,1,0,0,43.0,25.7,37.9,40.8,-2.9,0,0,34,1,1,73.48,High,1
STU0061,7,Male,UP,2.69,Below Poverty Line,4.7,5,Secondary,1,1,0,0,0,40.8,53.3,86.2,49.6,36.6,0,0,49,1,1,43.95,Medium,0
STU0062,7,Male,UP,1.02,Below Poverty Line,1.6,3,Graduate,1,0,1,0,1,15.5,10.0,36.9,40.1,-3.2,0,0,52,1,1,70.24,High,1
STU0063,9,Female,Odisha,4.72,Low Income,6.2,2,Illiterate,1,0,0,0,0,47.9,46.3,70.6,30.6,40.0,1,1,61,1,1,47.54,Medium,0
STU0064,7,Male,UP,1.1,Below Poverty Line,9.2,1,Primary,0,1,0,0,0,53.6,51.1,67.4,90.0,-22.6,0,0,38,1,1,44.12,Medium,0
STU0065,7,Male,Jharkhand,4.12,Low Income,1.0,5,Primary,0,1,1,0,0,90.4,72.0,49.5,46.4,3.1,0,0,32,0,1,47.48,Medium,0
STU0066,8,Female,Telangana,4.52,Low Income,3.9,5,Primary,1,0,0,0,0,54.5,32.0,87.6,82.0,5.6,0,0,56,1,1,40.0,Medium,0
STU0067,6,Male,Telangana,3.06,Low Income,2.0,2,Secondary,1,1,0,0,0,55.0,50.0,26.9,54.2,-27.3,0,0,56,1,1,46.5,Medium,0
STU0068,9,Male,Assam,6.78,Middle Income,18.2,4,Secondary,0,0,1,1,0,43.4,33.8,53.6,38.8,14.8,0,0,39,1,1,64.52,Medium,0
STU0069,6,Male,MP,0.23,Below Poverty Line,2.6,4,Secondary,0,0,0,1,1,74.6,68.7,46.2,66.7,-20.5,0,0,45,1,1,55.73,Medium,0
STU0070,10,Male,Jharkhand,5.0,Low Income,1.0,4,Graduate,0,0,0,0,0,78.7,84.4,72.3,51.4,20.9,0,0,53,0,1,23.28,Low,0
STU0071,9,Female,UP,3.89,Low Income,1.9,3,Illiterate,1,0,1,0,0,71.6,68.9,61.4,54.5,6.9,0,0,52,1,1,47.69,Medium,0
STU0072,6,Male,MP,5.42,Low Income,4.2,0,Secondary,0,1,0,0,0,18.3,20.9,23.9,60.5,-36.6,0,0,38,1,1,53.75,Medium,0
STU0073,6,Male,Rajasthan,6.72,Middle Income,0.5,4,Primary,0,0,0,1,0,79.0,78.4,77.3,44.2,33.1,0,0,31,1,1,17.6,Low,0
STU0074,9,Female,Rajasthan,3.25,Low Income,3.7,4,Primary,0,0,0,0,0,78.3,70.1,63.7,30.4,33.3,1,0,35,1,1,38.64,Low,0
STU0075,9,Female,MP,2.91,Below Poverty Line,10.7,5,Illiterate,1,1,0,1,0,92.9,77.9,36.4,57.1,-20.8,0,0,64,0,1,60.7,Medium,0
STU0076,9,Female,Rajasthan,6.19,Middle Income,7.6,1,Secondary,1,0,0,0,0,59.4,57.1,48.7,74.4,-25.7,0,0,36,0,1,30.25,Low,0
STU0077,9,Male,Bihar,2.07,Below Poverty Line,0.5,1,Primary,0,0,0,0,1,80.0,75.9,31.6,42.7,-11.1,0,0,44,1,1,17.01,Low,0
STU0078,6,Male,UP,4.72,Low Income,20.1,2,Secondary,0,0,0,1,1,61.7,65.9,51.9,60.6,-8.7,0,0,50,0,1,42.39,Medium,0
STU0079,7,Female,Odisha,3.89,Low Income,4.8,2,Primary,0,0,0,1,0,64.7,58.2,57.7,83.6,-25.9,0,0,52,0,1,42.7,Medium,0
STU0080,6,Female,UP,6.25,Middle Income,0.7,2,Illiterate,1,1,0,0,1,69.8,61.8,49.0,56.5,-7.5,0,0,58,1,1,38.17,Low,0
STU0081,10,Male,MP,0.82,Below Poverty Line,0.5,4,Primary,0,0,0,0,0,39.7,32.4,46.9,59.5,-12.6,0,0,42,1,0,36.76,Low,0
STU0082,8,Male,UP,0.73,Below Poverty Line,0.8,1,Primary,0,0,0,0,0,41.6,27.4,26.0,58.9,-33.0,0,0,34,1,1,49.2,Medium,0
STU0083,7,Male,MP,2.43,Below Poverty Line,7.3,2,Graduate,0,1,1,0,0,51.4,60.9,61.1,46.4,14.7,0,0,30,1,1,44.67,Medium,0
STU0084,6,Female,Odisha,3.21,Low Income,0.5,1,Illiterate,1,0,0,0,0,89.3,95.7,20.4,41.1,-20.8,0,0,49,1,1,39.48,Low,0
STU0085,7,Female,UP,4.23,Low Income,1.1,4,Graduate,1,0,0,1,0,72.5,55.3,55.6,41.2,14.4,0,0,30,1,1,46.15,Medium,0
STU0086,7,Male,Telangana,1.65,Below Poverty Line,5.7,5,Graduate,1,1,0,0,0,56.9,59.9,22.6,64.3,-41.6,0,0,64,1,1,64.93,Medium,0
STU0087,9,Male,Telangana,0.51,Below Poverty Line,3.5,4,Graduate,1,0,0,0,1,47.0,23.6,55.9,70.9,-15.0,0,0,36,1,1,58.56,Medium,0
STU0088,8,Female,Rajasthan,7.84,Middle Income,6.1,2,Primary,1,0,0,0,1,21.0,25.9,54.9,71.7,-16.8,0,0,64,1,0,47.31,Medium,0
STU0089,10,Female,Jharkhand,2.38,Below Poverty Line,5.5,4,Graduate,0,0,1,0,0,90.1,78.1,62.3,51.6,10.7,0,0,63,0,1,41.53,Medium,0
STU0090,8,Male,Telangana,5.46,Low Income,0.5,4,Primary,0,0,0,0,0,51.1,49.7,70.5,76.6,-6.1,0,0,34,1,1,20.68,Low,0
STU0091,6,Female,MP,1.49,Below Poverty Line,8.9,1,Illiterate,1,0,0,0,0,57.7,33.4,73.9,63.2,10.6,0,0,58,0,0,56.19,Medium,0
STU0092,9,Female,UP,2.78,Below Poverty Line,1.0,0,Illiterate,1,0,0,0,0,84.5,67.5,26.0,59.2,-33.2,0,0,56,0,1,42.72,Medium,0
STU0093,9,Male,Bihar,1.11,Below Poverty Line,3.2,3,Graduate,0,1,0,0,0,92.3,91.9,54.0,1.2,52.7,1,0,36,1,1,39.82,Low,0
STU0094,8,Female,Assam,7.2,Middle Income,4.1,2,Illiterate,1,0,0,1,0,56.8,44.8,91.2,44.1,47.1,0,0,30,1,1,36.89,Low,0
STU0095,9,Male,UP,2.2,Below Poverty Line,0.7,0,Primary,0,0,0,0,0,20.3,10.0,57.1,32.1,25.0,1,0,38,1,1,50.21,Medium,0
STU0096,8,Female,Bihar,0.87,Below Poverty Line,15.0,5,Illiterate,1,1,1,0,1,31.0,40.0,40.0,68.7,-28.6,0,0,30,0,1,93.49,High,1
STU0097,8,Female,Telangana,6.21,Middle Income,2.7,2,Illiterate,1,0,0,0,0,61.7,78.8,53.6,59.6,-6.1,0,0,56,1,1,21.67,Low,0
STU0098,7,Female,Telangana,2.41,Below Poverty Line,0.5,0,Illiterate,1,1,0,1,0,24.4,28.8,48.1,39.8,8.3,0,0,46,1,1,65.57,High,1
STU0099,6,Female,UP,6.41,Middle Income,11.1,4,Secondary,1,0,1,0,0,89.8,73.9,33.8,63.2,-29.4,0,0,61,1,1,42.93,Medium,0
STU0100,6,Male,Telangana,4.36,Low Income,3.5,2,Primary,0,0,0,0,0,55.8,68.5,70.6,33.8,36.8,1,0,59,0,0,26.02,Low,0
STU0101,6,Female,MP,3.64,Low Income,4.8,0,Graduate,1,1,0,1,0,48.4,27.8,65.5,40.3,25.3,0,0,44,1,1,54.69,Medium,0
STU0102,8,Female,Bihar,4.68,Low Income,3.0,3,Secondary,0,0,0,0,1,87.3,79.2,31.0,45.9,-14.9,0,0,57,1,1,27.68,Low,0
STU0103,7,Male,Rajasthan,2.0,Below Poverty Line,7.2,4,Graduate,0,1,0,0,1,74.7,70.3,53.3,67.2,-13.9,0,0,32,0,1,57.2,Medium,0
STU0104,8,Female,UP,2.26,Below Poverty Line,0.5,2,Primary,0,0,0,0,0,74.5,88.8,44.8,81.8,-37.0,0,0,57,1,1,27.09,Low,0
STU0105,10,Female,UP,3.49,Low Income,1.2,5,Primary,0,0,0,1,1,79.9,84.0,26.2,48.0,-21.9,0,0,34,1,1,51.58,Medium,0
STU0106,6,Male,MP,4.96,Low Income,2.5,5,Primary,0,0,0,0,0,69.8,60.2,29.5,80.5,-50.9,0,0,31,0,1,38.86,Low,0
STU0107,7,Female,Assam,3.31,Low Income,0.5,2,Primary,0,0,1,0,0,86.1,71.6,32.2,58.8,-26.6,0,0,45,0,1,52.17,Medium,0
STU0108,9,Female,Telangana,0.52,Below Poverty Line,4.9,0,Secondary,1,1,0,1,0,85.9,91.0,53.9,62.0,-8.1,0,0,46,1,0,48.95,Medium,0
STU0109,6,Male,Jharkhand,3.87,Low Income,2.0,2,Primary,1,1,0,0,0,92.3,81.9,46.8,56.9,-10.2,0,0,41,1,1,29.07,Low,0
STU0110,6,Female,Rajasthan,2.67,Below Poverty Line,1.3,4,Secondary,0,1,1,0,0,31.2,28.3,37.7,54.6,-16.9,0,0,55,1,1,70.04,High,1
STU0111,7,Male,Rajasthan,3.33,Low Income,0.5,1,Secondary,0,0,1,0,0,35.0,16.3,47.9,65.5,-17.5,0,0,36,0,1,48.88,Medium,0
STU0112,6,Male,Rajasthan,2.94,Below Poverty Line,5.1,5,Illiterate,1,0,0,0,0,53.2,53.9,68.5,70.6,-2.1,0,0,53,0,1,34.61,Low,0
STU0113,10,Male,Telangana,2.87,Below Poverty Line,7.2,0,Secondary,0,1,1,0,0,47.5,47.4,61.4,43.0,18.5,0,0,45,1,1,50.63,Medium,0
STU0114,9,Female,Telangana,3.33,Low Income,2.0,3,Illiterate,1,0,1,0,1,10.9,10.0,73.0,54.8,18.3,0,0,47,1,1,66.04,High,1
STU0115,8,Female,Rajasthan,5.29,Low Income,3.3,2,Primary,1,1,1,1,1,69.4,74.8,50.9,86.4,-35.5,0,0,37,1,1,59.21,Medium,0
STU0116,10,Male,UP,1.37,Below Poverty Line,1.0,4,Secondary,0,0,0,1,0,72.7,73.2,83.8,61.0,22.8,0,0,56,1,1,28.65,Low,0
STU0117,9,Male,Jharkhand,2.58,Below Poverty Line,3.9,2,Graduate,1,0,0,0,0,53.0,55.4,61.3,62.9,-1.6,0,0,55,1,1,24.22,Low,0
STU0118,6,Female,Bihar,1.24,Below Poverty Line,0.5,3,Illiterate,1,1,0,0,0,81.8,73.1,46.2,77.8,-31.6,0,0,60,1,1,38.21,Low,0
STU0119,10,Male,Telangana,2.61,Below Poverty Line,2.7,4,Illiterate,1,1,1,0,0,32.7,29.5,56.7,49.5,7.2,0,0,47,1,1,70.36,High,1
STU0120,8,Female,MP,3.32,Low Income,4.1,3,Illiterate,1,1,1,0,0,46.7,42.3,32.5,57.4,-24.9,0,0,31,1,1,73.77,High,1
STU0121,9,Female,UP,1.45,Below Poverty Line,10.0,4,Primary,1,0,0,0,0,63.1,56.6,49.5,71.9,-22.4,0,0,52,1,0,50.35,Medium,0
STU0122,10,Male,Rajasthan,3.77,Low Income,1.9,1,Secondary,1,0,0,0,0,71.8,68.5,62.7,79.1,-16.3,0,0,51,1,1,18.16,Low,0
STU0123,7,Female,MP,3.83,Low Income,5.8,5,Secondary,0,0,0,0,1,39.5,47.1,66.0,17.8,48.2,1,0,62,1,1,50.05,Medium,0
STU0124,6,Male,Jharkhand,1.68,Below Poverty Line,3.6,4,Secondary,0,0,0,0,0,63.2,68.9,47.6,45.5,2.1,0,0,47,1,1,35.84,Low,0
STU0125,6,Female,Odisha,2.87,Below Poverty Line,10.5,3,Secondary,1,0,0,0,1,42.8,25.9,100.0,41.0,59.0,0,0,44,1,1,51.31,Medium,0
STU0126,7,Female,MP,0.55,Below Poverty Line,2.0,0,Primary,1,1,1,0,1,95.1,100.0,51.9,55.9,-4.0,0,0,32,1,1,49.62,Medium,0
STU0127,9,Female,MP,1.6,Below Poverty Line,1.5,5,Illiterate,1,0,0,0,0,55.4,62.3,24.8,42.3,-17.5,0,0,52,1,1,53.76,Medium,0
STU0128,10,Male,Assam,2.32,Below Poverty Line,8.7,1,Illiterate,1,0,0,0,0,24.9,18.4,76.8,69.3,7.5,0,0,31,1,1,44.93,Medium,0
STU0129,6,Female,UP,2.13,Below Poverty Line,0.5,2,Secondary,0,0,1,0,0,93.5,93.6,65.9,60.9,5.0,0,0,33,1,1,34.33,Low,0
STU0130,8,Male,Telangana,0.76,Below Poverty Line,0.6,1,Secondary,0,1,0,0,0,49.0,48.9,59.2,73.1,-13.9,0,0,55,1,1,42.65,Medium,0
STU0131,7,Male,UP,1.22,Below Poverty Line,0.5,1,Secondary,0,0,1,0,0,71.7,58.2,46.6,74.2,-27.6,0,0,48,1,1,42.86,Medium,0
STU0132,6,Male,UP,2.59,Below Poverty Line,7.4,2,Primary,0,1,0,0,0,22.0,13.2,62.1,69.5,-7.5,0,0,39,1,1,48.63,Medium,0
STU0133,6,Female,MP,5.68,Low Income,0.5,4,Primary,0,1,0,1,0,86.0,88.5,84.1,52.3,31.9,0,0,51,1,0,32.59,Low,0
STU0134,7,Female,MP,4.79,Low Income,7.9,1,Graduate,1,1,0,0,1,50.7,40.7,58.6,59.8,-1.1,0,0,35,1,1,43.98,Medium,0
STU0135,10,Female,Rajasthan,3.16,Low Income,2.4,5,Illiterate,1,1,0,0,0,51.9,56.6,28.5,50.2,-21.6,0,0,30,1,1,63.76,Medium,0
STU0136,7,Female,Telangana,4.27,Low Income,0.5,1,Secondary,0,1,0,0,0,65.5,73.6,0.0,34.8,-34.8,1,0,45,0,0,60.05,Medium,0
STU0137,8,Male,MP,5.85,Low Income,2.1,0,Primary,1,0,0,0,1,76.5,82.9,61.9,74.2,-12.3,0,0,36,1,1,20.49,Low,0
STU0138,9,Female,UP,1.13,Below Poverty Line,0.8,5,Illiterate,1,0,0,1,0,71.9,86.7,37.3,56.6,-19.3,0,0,53,1,1,54.47,Medium,0
STU0139,7,Male,MP,6.19,Middle Income,3.9,0,Secondary,0,0,0,0,1,45.4,39.5,53.2,32.5,20.7,1,1,64,1,1,47.66,Medium,0
STU0140,10,Female,Rajasthan,4.61,Low Income,4.5,5,Primary,1,0,0,0,1,37.1,33.8,40.4,67.1,-26.7,0,0,43,1,1,46.68,Medium,0
STU0141,10,Female,UP,5.19,Low Income,2.7,3,Secondary,0,1,0,0,0,80.3,78.5,39.1,54.2,-15.0,0,0,33,0,1,24.53,Low,0
STU0142,7,Female,Telangana,1.2,Below Poverty Line,0.5,2,Secondary,0,0,0,1,0,78.2,72.6,41.2,23.0,18.2,1,0,44,1,1,51.74,Medium,0
STU0143,8,Female,Telangana,2.32,Below Poverty Line,4.3,5,Primary,0,1,0,0,0,69.8,70.2,42.9,34.6,8.2,1,0,52,1,1,52.8,Medium,0
STU0144,7,Male,Odisha,5.19,Low Income,7.4,5,Secondary,0,0,1,0,0,84.8,62.7,69.0,46.1,22.9,0,0,48,1,1,32.48,Low,0
STU0145,7,Male,Jharkhand,3.15,Low Income,5.1,4,Primary,1,0,0,0,0,82.3,79.3,65.3,61.6,3.7,0,0,43,1,1,16.39,Low,0
STU0146,6,Female,MP,3.04,Low Income,7.1,4,Illiterate,1,1,0,0,0,92.3,73.5,33.3,71.4,-38.1,0,0,56,0,0,57.05,Medium,0
STU0147,8,Male,Telangana,5.83,Low Income,0.9,3,Secondary,1,0,0,0,1,66.7,52.1,35.7,70.8,-35.1,0,0,51,0,1,34.55,Low,0
STU0148,8,Male,Bihar,2.68,Below Poverty Line,8.8,4,Primary,1,1,0,1,0,18.9,21.2,61.8,68.2,-6.4,0,0,40,1,1,67.95,High,1
STU0149,6,Male,MP,3.89,Low Income,1.6,4,Illiterate,1,1,1,1,1,47.6,40.7,73.9,57.4,16.5,0,0,33,1,0,75.31,High,1
STU0150,7,Female,Odisha,6.06,Middle Income,0.5,0,Graduate,1,0,0,0,0,30.6,32.5,73.7,87.3,-13.6,0,0,61,1,1,25.95,Low,0
STU0151,10,Male,Telangana,6.45,Middle Income,7.4,4,Primary,0,0,1,1,1,53.7,46.5,36.9,69.9,-33.0,0,0,53,1,0,57.95,Medium,0
STU0152,6,Male,Telangana,1.66,Below Poverty Line,11.4,4,Secondary,1,0,0,0,0,53.3,59.4,72.8,61.8,11.0,0,0,63,1,1,37.88,Low,0
STU0153,6,Female,MP,2.57,Below Poverty Line,4.3,3,Secondary,0,1,0,0,0,77.9,70.5,23.0,67.6,-44.6,0,0,32,0,0,53.36,Medium,0
STU0154,8,Female,Bihar,4.63,Low Income,1.1,3,Primary,1,0,0,1,0,71.6,47.0,51.3,51.2,0.1,0,0,31,1,0,49.0,Medium,0
STU0155,10,Male,UP,6.79,Middle Income,1.2,1,Primary,0,0,0,0,0,39.6,36.9,63.8,57.0,6.7,0,0,52,1,1,26.87,Low,0
STU0156,6,Male,Telangana,1.62,Below Poverty Line,2.5,4,Primary,1,1,0,0,0,51.3,24.6,17.6,22.6,-5.0,1,0,49,0,1,76.84,High,1
STU0157,9,Male,Rajasthan,4.65,Low Income,9.1,4,Primary,1,0,0,0,0,30.2,10.7,92.7,51.4,41.2,0,0,37,0,0,50.26,Medium,0
